Year,Month,Rainfall (mm)
1978,5,118.2
1978,6,301.8
1978,7,19.4
1978,8,37.2
1978,9,113.6
1978,10,88.3
1978,11,96.8
1978,12,93.0
1979,1,122.1
1979,2,16.1
1979,3,200.2
1979,4,24.6
1979,5,121.2
1979,6,169.4
1979,7,26.4
1979,8,9.2
1979,9,28.0
1979,10,50.0
1979,11,91.8
1979,12,2.6
1980,1,169.7
1980,2,81.4
1980,3,76.2
1980,4,22.6
1980,5,132.1
1980,6,47.4
1980,7,52.4
1980,8,14.8
1980,9,5.5
1980,10,34.1
1980,11,41.2
1980,12,50.2
1981,1,64.4
1981,2,208.0
1981,3,38.2
1981,4,133.4
1981,5,90.0
1981,6,43.4
1981,7,39.8
1981,8,10.4
1981,9,4.0
1981,10,244.0
1981,11,126.8
1981,12,66.2
1982,1,51.2
1982,2,31.4
1982,3,164.8
1982,4,20.2
1982,5,15.8
1982,6,125.4
1982,7,160.8
1982,8,23.9
1982,9,208.5
1982,10,51.2
1982,11,20.0
1982,12,22.2
1983,1,42.6
1983,2,50.2
1983,3,310.2
1983,4,157.8
1983,5,203.2
1983,6,78.6
1983,7,40.6
1983,8,145.4
1983,9,46.6
1983,10,158.0
1983,11,35.0
1983,12,103.2
1984,1,191.2
1984,2,130.5
1984,3,276.6
1984,4,100.6
1984,5,142.5
1984,6,89.8
1984,7,150.8
1984,8,8.8
1984,9,52.4
1984,10,54.0
1984,11,517.3
1984,12,97.9
1985,1,2.2
1985,2,54.9
1985,3,87.0
1985,4,297.4
1985,5,128.8
1985,6,123.8
1985,7,83.6
1985,8,27.5
1985,9,76.2
1985,10,140.0
1985,11,63.0
1985,12,91.0
1986,1,202.1
1986,2,90.2
1986,3,18.6
1986,4,117.7
1986,5,55.8
1986,6,16.0
1986,7,48.7
1986,8,482.7
1986,9,31.2
1986,10,99.2
1986,11,172.2
1986,12,6.8
1987,1,83.2
1987,2,18.2
1987,3,149.2
1987,4,70.8
1987,5,47.9
1987,6,82.6
1987,7,113.9
1987,8,189.1
1987,9,8.1
1987,10,272.5
1987,11,180.6
1987,12,82.3
1988,1,96.3
1988,2,100.0
1988,3,79.0
1988,4,347.7
1988,5,272.4
1988,6,86.1
1988,7,109.3
1988,8,72.1
1988,9,145.2
1988,10,0.6
1988,11,166.1
1988,12,132.7
1989,1,158.8
1989,2,143.4
1989,3,143.2
1989,4,380.4
1989,5,157.6
1989,6,249.8
1989,7,32.7
1989,8,66.2
1989,9,2.2
1989,10,15.3
1989,11,60.6
1989,12,141.6
1990,1,82.9
1990,2,664.7
1990,3,139.1
1990,4,341.5
1990,5,110.1
1990,6,42.0
1990,7,75.7
1990,8,201.0
1990,9,202.1
1990,10,53.6
1990,11,29.8
1990,12,42.0
1991,1,99.6
1991,2,51.3
1991,3,17.1
1991,4,47.4
1991,5,137.2
1991,6,347.1
1991,7,105.3
1991,8,4.6
1991,9,18.7
1991,10,11.9
1991,11,121.7
1991,12,185.1
1992,1,74.5
1992,2,490.2
1992,3,86.9
1992,4,67.5
1992,5,73.6
1992,6,97.3
1992,7,15.8
1992,8,34.2
1992,9,25.3
1992,10,87.7
1992,11,147.1
1992,12,205.4
1993,1,65.5
1993,2,75.8
1993,3,92.1
1993,4,62.8
1993,5,18.8
1993,6,60.8
1993,7,99.8
1993,8,66.6
1993,9,169.3
1993,10,50.5
1993,11,94.2
1993,12,32.2
1994,1,42.0
1994,2,87.6
1994,3,171.0
1994,4,122.0
1994,5,40.1
1994,6,70.1
1994,7,79.9
1994,8,35.8
1994,9,28.0
1994,10,49.2
1994,11,53.5
1994,12,69.1
1995,1,101.8
1995,2,61.2
1995,3,176.9
1995,4,41.7
1995,5,180.9
1995,6,114.6
1995,7,1.5
1995,8,0.0
1995,9,223.3
1995,10,35.5
1995,11,170.9
1995,12,81.2
1996,1,132.5
1996,2,39.6
1996,3,59.1
1996,4,42.6
1996,5,169.7
1996,6,176.2
1996,7,52.2
1996,8,130.6
1996,9,142.9
1996,10,17.3
1996,11,114.8
1996,12,37.8
1997,1,178.0
1997,2,124.6
1997,3,27.4
1997,4,6.6
1997,5,200.4
1997,6,110.0
1997,7,190.6
1997,8,38.4
1997,9,137.2
1997,10,54.8
1997,11,25.8
1997,12,30.0
1998,1,90.8
1998,2,33.9
1998,3,19.5
1998,4,344.1
1998,5,333.3
1998,6,148.6
1998,7,89.8
1998,8,532.3
1998,9,43.6
1998,10,37.9
1998,11,73.4
1998,12,59.3
1999,1,
1999,2,
1999,3,31.1
1999,4,269.1
1999,5,74.4
1999,6,91.2
1999,7,202.5
1999,8,135.8
1999,9,
1999,10,174.5
1999,11,86.2
1999,12,92.8
2000,1,57.3
2000,2,24.3
2000,3,
2000,4,61.6
2000,5,
2000,6,
2000,7,23.5
2000,8,23.6
2000,9,32.2
2000,10,84.4
2000,11,
2000,12,46.4
2001,1,182.2
2001,2,
2001,3,105.3
2001,4,
2001,5,
2001,6,34.0
2001,7,127.2
2001,8,68.9
2001,9,29.6
2001,10,35.7
2001,11,
2001,12,44.5
2002,1,106.7
2002,2,384.2
2002,3,52.4
2002,4,34.6
2002,5,101.5
2002,6,30.8
2002,7,21.8
2002,8,25.6
2002,9,24.0
2002,10,8.6
2002,11,17.4
2002,12,73.0
2003,1,15.2
2003,2,65.6
2003,3,151.6
2003,4,223.6
2003,5,377.2
2003,6,52.6
2003,7,64.8
2003,8,54.4
2003,9,5.2
2003,10,106.4
2003,11,106.8
2003,12,58.8
2004,1,
2004,2,127.8
2004,3,100.2
2004,4,27.8
2004,5,9.3
2004,6,45.4
2004,7,42.2
2004,8,150.8
2004,9,51.8
2004,10,246.0
2004,11,75.6
2004,12,88.0
2005,1,72.4
2005,2,146.4
